OBJECTID,NAME,Obesity,Shape_Area,Shape_Length
81,Illinois,26.5,error: precision too large.,3415455.256769258
82,Texas,20.5,error: precision too large.,error: precision too large.
83,Arizona,22.7,error: precision too large.,error: precision too large.
84,Alaska,23.8,error: precision too large.,2640500.184856858
85,Georgia,20.4,error: precision too large.,2936281.26374925
86,Florida,34.1,error: precision too large.,6381790.986197894
87,Texas,24.7,error: precision too large.,error: precision too large.
88,New York,25.1,error: precision too large.,7178486.637048941
89,Florida,28.4,error: precision too large.,error: precision too large.
90,Connecticut,23.8,error: precision too large.,error: precision too large.
91,California,34.4,error: precision too large.,error: precision too large.
92,Florida,24.6,406051356948.8284,2820997.299767422
93,Nevada,32.1,error: precision too large.,error: precision too large.
94,California,24.0,error: precision too large.,4785420.459595515
95,South Dakota,27.1,error: precision too large.,2180628.558840531
96,South Carolina,23.8,error: precision too large.,error: precision too large.
97,California,34.4,error: precision too large.,error: precision too large.
98,New York,23.7,error: precision too large.,7092390.047239694
99,Georgia,20.7,283860138188.4191,error: precision too large.
100,Florida,31.3,970975765517.4304,error: precision too large.
101,New York,26.1,error: precision too large.,4844912.815747655
102,Kentucky,20.8,error: precision too large.,8947052.401474316
103,Minnesota,23.0,error: precision too large.,2249247.770253088
104,Florida,33.5,error: precision too large.,5200751.266166757
105,South Carolina,26.2,error: precision too large.,error: precision too large.
106,Colorado,30.1,510583453262.3808,3389054.519544423
107,District of Columbia,24.5,error: precision too large.,7388404.691981177
108,Florida,35.4,error: precision too large.,8094110.848195401
109,California,32.3,error: precision too large.,error: precision too large.
110,Texas,35.1,938337431584.1608,2669989.70794436
111,Florida,31.4,error: precision too large.,9559337.926784631
112,Texas,24.8,error: precision too large.,6810593.723522898
113,Florida,30.2,70524852782.3128,error: precision too large.
114,New Jersey,26.8,error: precision too large.,error: precision too large.
115,California,28.3,error: precision too large.,9174380.161081634
116,Washington,30.2,error: precision too large.,5854347.867544619
117,Michigan,25.9,error: precision too large.,error: precision too large.
118,Indiana,30.6,error: precision too large.,1657278.602222222
119,Tennessee,24.9,error: precision too large.,7321273.581713377
120,Florida,35.6,411136845067.5421,3841943.663408904
121,Oklahoma,32.1,error: precision too large.,2762804.28967591
122,Georgia,25.4,error: precision too large.,6144494.590714926
123,Texas,27.9,error: precision too large.,error: precision too large.
124,New York,21.0,error: precision too large.,903388.705319699
125,District of Columbia,31.2,811069287256.0874,error: precision too large.
126,Colorado,20.2,error: precision too large.,error: precision too large.
127,California,31.0,error: precision too large.,2464763.783666203
128,Florida,23.1,error: precision too large.,2554197.077233717
129,District of Columbia,22.5,error: precision too large.,4091105.813338925
130,Maryland,31.9,error: precision too large.,error: precision too large.
131,Georgia,27.0,error: precision too large.,6443544.078628153
132,South Carolina,20.4,error: precision too large.,1852012.058966534
133,Texas,34.2,error: precision too large.,error: precision too large.
134,North Carolina,23.1,error: precision too large.,error: precision too large.
135,District of Columbia,25.1,error: precision too large.,8675718.069107993
136,Pennsylvania,33.4,error: precision too large.,error: precision too large.
137,Kentucky,28.0,error: precision too large.,3999930.703524307
138,Kansas,21.7,error: precision too large.,9471504.249068743
139,Missouri,33.1,error: precision too large.,error: precision too large.
140,North Carolina,26.0,error: precision too large.,3290998.61491213
141,Alabama,31.2,error: precision too large.,4089607.040157193
142,Alabama,32.1,error: precision too large.,2926831.9063205
143,Alabama,28.6,error: precision too large.,4050784.358087573
144,Texas,21.8,error: precision too large.,1287162.945443381
145,Pennsylvania,34.2,error: precision too large.,2894725.910275513
146,Florida,31.3,error: precision too large.,error: precision too large.
147,Michigan,27.2,error: precision too large.,error: precision too large.
148,Arizona,34.7,error: precision too large.,8961814.192572504
149,Texas,20.8,error: precision too large.,7691187.349152994
150,California,27.9,836605919800.2708,2940164.480378205
151,Florida,27.3,error: precision too large.,error: precision too large.
152,Colorado,35.3,error: precision too large.,8401797.336731091
153,Massachusetts,21.1,error: precision too large.,6997311.707575766
154,Texas,31.8,error: precision too large.,error: precision too large.
155,California,26.9,error: precision too large.,error: precision too large.
156,Washington,28.7,error: precision too large.,error: precision too large.
157,California,22.6,error: precision too large.,6655707.179917482
158,West Virginia,22.3,error: precision too large.,3582200.335772741
159,Kansas,31.1,554618381629.673,error: precision too large.
160,California,28.7,error: precision too large.,7122796.83366716
161,California,33.8,error: precision too large.,error: precision too large.
162,California,30.3,error: precision too large.,2400903.260173227
163,California,31.9,770907139921.7107,error: precision too large.
164,Missouri,20.9,error: precision too large.,error: precision too large.
165,Minnesota,20.9,error: precision too large.,4621979.939042741
166,Ohio,26.9,error: precision too large.,1908519.103608507
167,Texas,30.3,error: precision too large.,error: precision too large.
168,Texas,30.0,error: precision too large.,error: precision too large.
169,Virginia,24.8,error: precision too large.,error: precision too large.
170,Florida,24.5,485039518460.695,7157881.396428479
171,Kentucky,27.8,error: precision too large.,3248516.172950272
172,Kansas,20.7,error: precision too large.,error: precision too large.
173,Virginia,27.6,error: precision too large.,9596269.492619028
174,Ohio,22.8,error: precision too large.,1162971.790175315
175,Ohio,35.9,error: precision too large.,5386029.140908393
176,Georgia,35.2,error: precision too large.,8457802.369820133
177,New York,23.8,error: precision too large.,error: precision too large.
178,West Virginia,27.1,error: precision too large.,3146867.346908862
179,California,22.3,219325425891.3203,error: precision too large.
180,Pennsylvania,28.3,error: precision too large.,error: precision too large.
181,New Jersey,31.0,54769958524.6691,1255742.790518653
182,Oregon,26.2,error: precision too large.,2541388.525474662
183,Illinois,24.0,error: precision too large.,3698026.984685103
184,Pennsylvania,27.1,error: precision too large.,error: precision too large.
185,Pennsylvania,36.0,412642334333.4355,3591382.303569012
186,Michigan,31.8,error: precision too large.,4277967.672179548
187,Wisconsin,27.4,error: precision too large.,error: precision too large.
188,California,23.7,110126659211.4748,9723436.349908687
189,Washington,31.9,error: precision too large.,6444341.889750354
190,North Carolina,26.9,error: precision too large.,1273350.390231293
191,Florida,29.0,error: precision too large.,error: precision too large.
192,Missouri,24.8,error: precision too large.,4639323.530851361
193,Tennessee,31.7,error: precision too large.,error: precision too large.
194,New York,27.8,error: precision too large.,1243174.334177912
195,Texas,32.2,error: precision too large.,7242278.531857214
196,Kansas,33.6,error: precision too large.,6397687.473881416
197,New Jersey,21.6,error: precision too large.,error: precision too large.
198,North Carolina,34.1,error: precision too large.,error: precision too large.
199,Georgia,31.4,error: precision too large.,error: precision too large.
200,District of Columbia,23.4,error: precision too large.,5637752.80743056
201,Missouri,23.7,error: precision too large.,error: precision too large.
202,Oklahoma,29.5,error: precision too large.,1874225.404543543
203,Alabama,20.5,263588768824.8589,9564057.123247838
204,Texas,21.6,error: precision too large.,error: precision too large.
205,Florida,21.7,error: precision too large.,9205837.061320193
206,Texas,23.8,343151277390.7859,error: precision too large.
207,California,34.3,error: precision too large.,497897.208439442
208,Iowa,23.6,error: precision too large.,9990358.786888791
209,Ohio,22.5,872847932274.6884,error: precision too large.
210,Florida,31.5,error: precision too large.,7047817.114947506
211,Florida,22.3,error: precision too large.,2596952.114557196
212,Texas,22.6,error: precision too large.,8287878.435461619
213,Kentucky,22.7,155248891979.6257,8924814.936539792
214,Louisiana,33.3,error: precision too large.,1619138.370006544
215,Washington,29.1,error: precision too large.,1467120.600948602
216,New Mexico,22.3,error: precision too large.,9171903.406006565
217,California,23.0,error: precision too large.,1812959.186736101
218,South Carolina,31.3,error: precision too large.,error: precision too large.
219,Connecticut,26.1,error: precision too large.,error: precision too large.
220,New Jersey,27.2,173706733297.1969,error: precision too large.
221,California,31.5,error: precision too large.,error: precision too large.
222,Florida,35.4,error: precision too large.,650676.884410579
223,Michigan,30.0,447212526944.2559,2505418.068084208
224,Louisiana,22.6,error: precision too large.,error: precision too large.
225,District of Columbia,26.7,504283153075.72,8819106.777442504
226,Texas,23.3,error: precision too large.,error: precision too large.
227,Iowa,35.7,error: precision too large.,2330507.469059447
228,Delaware,21.8,error: precision too large.,error: precision too large.
229,Georgia,35.7,error: precision too large.,5577301.177830003
230,Texas,20.0,error: precision too large.,2897330.820210442
231,Illinois,28.5,error: precision too large.,error: precision too large.
232,Louisiana,22.6,925125699915.6786,error: precision too large.
233,New Mexico,29.7,870093303627.9915,2748379.812539694
234,Texas,21.5,error: precision too large.,9255439.418970859
235,District of Columbia,23.5,error: precision too large.,4535152.660066567
236,Texas,29.2,error: precision too large.,7050193.5887324
237,Colorado,24.1,error: precision too large.,6295844.18924604
238,Kansas,31.3,error: precision too large.,4780351.508668259
239,Michigan,26.4,error: precision too large.,3779585.362023835
240,Wisconsin,20.1,error: precision too large.,error: precision too large.
241,Florida,34.6,error: precision too large.,4992408.088699995
242,California,35.2,error: precision too large.,1434584.290843271
243,Washington,34.0,error: precision too large.,error: precision too large.
244,Nebraska,25.6,error: precision too large.,1412166.387361932
245,Florida,23.1,error: precision too large.,1471218.722123884
246,Tennessee,25.5,error: precision too large.,6987971.385134012
247,Florida,27.2,error: precision too large.,error: precision too large.
248,Oklahoma,27.2,error: precision too large.,7656310.497631293
249,Virginia,23.7,error: precision too large.,error: precision too large.
250,Tennessee,29.5,577718262436.3447,7608119.894403701
251,Washington,35.1,error: precision too large.,5554239.099257116
252,Texas,29.7,error: precision too large.,error: precision too large.
253,California,24.0,error: precision too large.,5591136.450354491
254,Texas,25.0,924149492279.8593,2957863.96013464
255,Texas,34.6,error: precision too large.,7610833.544480585
256,Colorado,24.0,error: precision too large.,9981615.873628391
257,Colorado,31.1,error: precision too large.,7151874.83180142
258,Wisconsin,33.6,error: precision too large.,error: precision too large.
259,California,22.8,error: precision too large.,error: precision too large.
260,Virginia,35.7,108774345731.3008,error: precision too large.
261,Texas,35.5,596757147811.1493,8714095.649970731
262,California,21.6,error: precision too large.,error: precision too large.
263,New Jersey,22.8,624033669961.1169,error: precision too large.
264,Colorado,20.1,error: precision too large.,error: precision too large.
265,Virginia,24.8,443663636031.7633,8026301.573688409
266,District of Columbia,25.5,error: precision too large.,9189070.39673128
267,Florida,21.7,error: precision too large.,error: precision too large.
268,New York,35.5,error: precision too large.,341505.596759026
269,Mississippi,34.6,error: precision too large.,2363036.864222172
270,Florida,23.6,error: precision too large.,error: precision too large.
271,Tennessee,34.4,error: precision too large.,2514213.388458886
272,Connecticut,28.0,error: precision too large.,error: precision too large.
273,Florida,35.7,error: precision too large.,error: precision too large.
274,Ohio,28.0,error: precision too large.,2669353.408053935
275,California,35.8,error: precision too large.,9582384.685737837
276,Oregon,31.3,error: precision too large.,4907513.282632153
277,Connecticut,26.8,error: precision too large.,error: precision too large.
278,Texas,24.0,error: precision too large.,error: precision too large.
279,Nevada,32.1,error: precision too large.,9402048.887733139
280,Pennsylvania,34.6,error: precision too large.,error: precision too large.
281,Texas,26.5,error: precision too large.,419135.222292513
282,New York,34.6,error: precision too large.,7737139.837220444
283,Washington,22.0,322160967526.9522,3482575.821934017
284,California,35.4,error: precision too large.,error: precision too large.
285,Georgia,30.5,error: precision too large.,6219075.793791816
286,Missouri,33.9,error: precision too large.,6295105.539916438
287,Ohio,23.1,error: precision too large.,error: precision too large.
288,Maryland,30.5,error: precision too large.,1209064.26630586
289,Oklahoma,34.4,error: precision too large.,5114512.861346508
290,Nevada,26.0,error: precision too large.,3517828.227651138
291,Ohio,22.6,error: precision too large.,error: precision too large.
292,Montana,23.0,error: precision too large.,1515351.69871017
293,West Virginia,24.9,error: precision too large.,495663.635121501
294,Virginia,25.3,error: precision too large.,3966102.7891433
295,North Carolina,27.7,error: precision too large.,error: precision too large.
296,California,20.1,error: precision too large.,error: precision too large.
297,California,36.0,error: precision too large.,7735639.499051834
298,California,31.6,error: precision too large.,5357428.015184372
299,California,31.9,error: precision too large.,error: precision too large.
300,Michigan,24.6,error: precision too large.,error: precision too large.
301,New York,32.4,error: precision too large.,7530755.9578969
302,New York,23.1,error: precision too large.,8054524.561939922
303,South Carolina,22.5,752762601182.0961,error: precision too large.
304,California,20.5,error: precision too large.,error: precision too large.
305,District of Columbia,21.5,error: precision too large.,3610675.118314698
306,Colorado,21.7,error: precision too large.,6339011.769576187
307,Minnesota,31.5,error: precision too large.,2924262.743058437
308,Texas,32.4,error: precision too large.,8483223.716182053
309,New York,25.9,error: precision too large.,error: precision too large.
310,District of Columbia,26.4,206203908795.2228,5498279.863647913
311,Pennsylvania,28.9,error: precision too large.,error: precision too large.
312,Texas,21.3,356184306077.9758,4669039.676939139
313,Florida,33.1,error: precision too large.,error: precision too large.
314,Texas,33.9,error: precision too large.,error: precision too large.
315,Texas,21.1,error: precision too large.,8758935.015910864
316,California,21.5,error: precision too large.,error: precision too large.
317,Georgia,32.3,error: precision too large.,3334226.642374342
318,Pennsylvania,30.4,233873548059.7455,1926611.691569677
319,Virginia,25.0,error: precision too large.,6814533.091028775
320,Alabama,33.7,811677508392.9004,3360717.995572283
321,California,21.5,267295674565.8247,9572648.466136862
322,Arizona,29.8,error: precision too large.,5567104.403285456
323,Texas,21.8,error: precision too large.,9657243.832473006
324,California,27.8,error: precision too large.,4887484.61767085
325,Florida,29.6,331709580100.2548,6751792.760165724
326,California,35.3,860710193546.4211,977836.214200366
327,District of Columbia,30.6,error: precision too large.,5262211.581385035
328,Utah,22.3,error: precision too large.,9904302.689394072
329,Florida,23.2,error: precision too large.,9582871.277053026
330,Oregon,27.4,error: precision too large.,4524616.835605711
331,Louisiana,29.4,error: precision too large.,error: precision too large.
332,Ohio,21.8,error: precision too large.,4186953.711742759
333,California,21.2,error: precision too large.,4981519.188744425
334,Florida,28.1,error: precision too large.,error: precision too large.
335,South Carolina,26.9,error: precision too large.,error: precision too large.
336,California,22.7,error: precision too large.,1936643.899827007
337,California,21.1,601264983417.3052,error: precision too large.
338,Kansas,25.6,error: precision too large.,error: precision too large.
339,Washington,28.5,error: precision too large.,error: precision too large.
340,Florida,29.8,error: precision too large.,error: precision too large.
341,Ohio,22.9,error: precision too large.,error: precision too large.
342,Louisiana,27.2,225825458377.6386,error: precision too large.
343,Ohio,21.3,error: precision too large.,1186501.670998957
344,Texas,26.1,error: precision too large.,7311105.339436065
345,Texas,32.2,error: precision too large.,3061351.222783214
346,Iowa,30.1,error: precision too large.,8204339.831667078
347,Florida,31.3,error: precision too large.,668716.075185919
348,New York,29.1,error: precision too large.,3683984.531420336
349,Alabama,24.1,195121496015.9591,2722891.402487191
350,Alabama,31.9,error: precision too large.,error: precision too large.
351,California,30.7,error: precision too large.,error: precision too large.
352,Texas,34.0,error: precision too large.,1272470.63355387
353,California,30.1,767012761992.3572,error: precision too large.
354,District of Columbia,31.6,error: precision too large.,error: precision too large.
355,Louisiana,25.4,error: precision too large.,7642797.479508514
356,Texas,35.3,error: precision too large.,5662918.312133683
357,California,25.5,error: precision too large.,1399892.367070895
358,District of Columbia,28.5,error: precision too large.,3253044.660282826
359,Kentucky,23.1,error: precision too large.,6360732.426993715
360,Ohio,23.5,error: precision too large.,2986307.089262889
361,Illinois,23.3,error: precision too large.,536860.359805283
362,Florida,22.2,error: precision too large.,4928157.55467834
363,Missouri,31.4,error: precision too large.,1891579.877187042
364,Virginia,34.3,error: precision too large.,error: precision too large.
365,California,32.7,373625763387.1905,7354094.78427708
366,Delaware,23.1,error: precision too large.,9487684.83889454
367,Florida,26.3,563352862058.874,6845991.824928027
368,Arizona,21.8,error: precision too large.,5501563.916418246
369,North Carolina,35.6,error: precision too large.,9122263.124436151
370,District of Columbia,25.3,error: precision too large.,error: precision too large.
371,California,27.8,error: precision too large.,1728424.155854412
372,Arizona,23.5,error: precision too large.,7635335.256087764
373,Texas,27.2,error: precision too large.,9341131.469545139
374,Washington,32.5,error: precision too large.,error: precision too large.
375,California,33.1,error: precision too large.,8451184.625053803
376,Virginia,32.3,error: precision too large.,442285.957722507
377,New Mexico,35.5,error: precision too large.,error: precision too large.
378,Ohio,21.8,error: precision too large.,error: precision too large.
379,California,35.3,error: precision too large.,error: precision too large.
380,Texas,27.1,311703371704.6072,2988842.7872418
381,South Carolina,33.0,error: precision too large.,error: precision too large.
382,California,27.4,error: precision too large.,error: precision too large.
383,California,20.3,534376123968.215,error: precision too large.
384,New York,32.0,232281286088.1101,373336.544047783
385,New York,24.1,error: precision too large.,error: precision too large.
386,California,35.5,error: precision too large.,4454038.886597372
387,South Carolina,33.3,error: precision too large.,2336445.233478706
388,Colorado,25.3,error: precision too large.,875754.954615812
389,Florida,27.1,error: precision too large.,4933860.784084388
390,New York,35.0,error: precision too large.,4955188.208025933
391,Kansas,34.6,error: precision too large.,error: precision too large.
392,Florida,33.3,error: precision too large.,9013192.199678823
393,Texas,32.9,error: precision too large.,2569998.254594008
394,Florida,27.6,error: precision too large.,error: precision too large.
395,Tennessee,22.9,864253627458.4335,9544888.572208209
396,New York,21.9,error: precision too large.,367779.135863285
397,Texas,34.5,error: precision too large.,error: precision too large.
398,Nevada,32.7,error: precision too large.,error: precision too large.
399,West Virginia,30.0,error: precision too large.,1807330.245774888
400,Maryland,28.1,error: precision too large.,error: precision too large.
401,District of Columbia,33.4,error: precision too large.,2918751.192842472
402,Connecticut,28.9,error: precision too large.,error: precision too large.
403,Texas,20.0,error: precision too large.,error: precision too large.
404,Florida,35.0,error: precision too large.,3349497.01711524
405,Delaware,26.8,error: precision too large.,3037112.652928908
406,Ohio,24.5,error: precision too large.,error: precision too large.
407,Georgia,35.8,895054868426.0704,8542513.042159259
408,Washington,31.0,error: precision too large.,552903.625590023
409,Florida,29.9,error: precision too large.,6050571.379304084
410,Nevada,34.3,error: precision too large.,2280952.68875707
411,Indiana,29.1,error: precision too large.,error: precision too large.
412,North Carolina,31.8,457163212192.0164,1896368.918433151
413,Texas,22.3,error: precision too large.,5593728.584855021
414,Arkansas,30.7,error: precision too large.,error: precision too large.
415,Pennsylvania,20.9,error: precision too large.,error: precision too large.
416,District of Columbia,31.3,error: precision too large.,439560.799649554
417,California,29.0,error: precision too large.,246619.953965843
418,Illinois,20.9,error: precision too large.,8783527.7214357
419,Kansas,25.3,error: precision too large.,error: precision too large.
420,California,24.8,error: precision too large.,2341155.197475796
421,New York,31.2,error: precision too large.,error: precision too large.
422,Minnesota,28.3,error: precision too large.,4701449.175650157
423,Kansas,28.4,error: precision too large.,error: precision too large.
424,District of Columbia,29.2,error: precision too large.,3493430.508598709
425,Colorado,34.6,error: precision too large.,9134494.488830715
426,Oregon,27.9,error: precision too large.,error: precision too large.
427,California,24.7,error: precision too large.,error: precision too large.
428,Alabama,22.6,437177445832.653,5562375.5359525
429,Washington,22.6,error: precision too large.,3102168.321751787
430,Virginia,24.8,error: precision too large.,3091496.417648904
431,Florida,27.6,error: precision too large.,error: precision too large.
432,Arizona,22.5,error: precision too large.,5337690.536761722
433,Massachusetts,25.2,error: precision too large.,2395506.570544131
434,North Carolina,23.4,error: precision too large.,error: precision too large.
435,California,35.7,error: precision too large.,4307519.932416642
436,Texas,23.3,error: precision too large.,error: precision too large.
437,Alabama,23.2,error: precision too large.,error: precision too large.
438,California,34.5,error: precision too large.,3285818.850063841
439,Florida,22.8,error: precision too large.,8885373.253558913
440,California,28.4,error: precision too large.,error: precision too large.
441,New York,29.7,error: precision too large.,error: precision too large.
442,California,30.8,537610495386.7026,2093097.32425568
443,Louisiana,33.5,error: precision too large.,9929350.780251527
444,New York,24.3,error: precision too large.,error: precision too large.
445,Virginia,30.1,error: precision too large.,9342898.352258749
446,Missouri,22.8,error: precision too large.,error: precision too large.
447,Oklahoma,33.6,error: precision too large.,error: precision too large.
448,Georgia,31.8,error: precision too large.,6268753.55984962
449,Maryland,28.2,error: precision too large.,5479152.222682043
450,Pennsylvania,20.9,error: precision too large.,error: precision too large.
451,Virginia,31.2,error: precision too large.,4345611.063023407
452,Florida,20.2,error: precision too large.,error: precision too large.
453,California,27.1,error: precision too large.,error: precision too large.
454,New York,30.3,error: precision too large.,239844.770371264
455,Indiana,22.4,error: precision too large.,2541715.91170605
456,Kentucky,30.0,error: precision too large.,2317977.458443732
457,Georgia,21.9,error: precision too large.,3684512.470073412
458,California,25.4,338933718097.597,error: precision too large.
459,Missouri,34.9,812828251622.5792,error: precision too large.
460,New York,34.9,error: precision too large.,error: precision too large.
461,Tennessee,26.8,error: precision too large.,error: precision too large.
462,Rhode Island,26.3,error: precision too large.,3348404.923301009
463,Utah,22.8,error: precision too large.,5635440.45452147
464,California,30.7,error: precision too large.,9169756.455954755
465,Virginia,29.9,error: precision too large.,error: precision too large.
466,New York,30.3,error: precision too large.,error: precision too large.
467,Florida,25.5,error: precision too large.,4682344.005943172
468,Texas,34.3,error: precision too large.,4588019.604964323
469,Minnesota,24.7,error: precision too large.,9690627.156980902
470,Virginia,20.6,error: precision too large.,3844194.162632784
471,Florida,20.4,error: precision too large.,4836719.587000877
472,Texas,30.2,error: precision too large.,9307439.308496227
473,Texas,35.1,error: precision too large.,error: precision too large.
474,Louisiana,28.2,error: precision too large.,error: precision too large.
475,Texas,20.5,error: precision too large.,1163700.752512997
476,Ohio,35.0,error: precision too large.,2969272.416432402
477,Florida,35.2,error: precision too large.,974524.7123091
478,Texas,25.4,error: precision too large.,6501726.248090229
479,Texas,33.1,error: precision too large.,error: precision too large.
480,Virginia,33.0,error: precision too large.,1301649.982595736
481,Nevada,27.1,error: precision too large.,2132030.468174252
482,New Mexico,20.6,error: precision too large.,5507598.785061249
483,New York,20.0,error: precision too large.,9552870.59817706
484,Montana,33.4,error: precision too large.,error: precision too large.
485,Texas,23.7,error: precision too large.,error: precision too large.
486,Texas,24.8,error: precision too large.,4944450.929102554
487,Louisiana,22.3,error: precision too large.,9475592.926293826
488,Florida,25.8,error: precision too large.,8842819.389462456
489,Montana,27.0,error: precision too large.,error: precision too large.
490,Maryland,35.9,295752244893.5197,4258863.692652835
491,Florida,23.1,error: precision too large.,7887815.924824979
492,Pennsylvania,29.6,error: precision too large.,4171111.80308221
493,Florida,28.3,error: precision too large.,3074744.699616728
494,Ohio,30.2,error: precision too large.,2782304.469710535
495,Oklahoma,28.3,error: precision too large.,error: precision too large.
496,Massachusetts,22.5,error: precision too large.,9133422.380332757
497,California,34.3,error: precision too large.,2579423.345844004
498,California,32.7,error: precision too large.,error: precision too large.
499,California,21.1,927857677479.9832,3060556.247625793
500,Colorado,31.3,error: precision too large.,4059098.904031357
501,Pennsylvania,25.5,error: precision too large.,error: precision too large.
502,Michigan,22.9,error: precision too large.,3430383.136191238
503,Texas,32.1,47412291195.6937,error: precision too large.
504,North Carolina,24.2,error: precision too large.,error: precision too large.
505,California,26.9,error: precision too large.,8256082.529969725
506,Arizona,27.3,error: precision too large.,1332710.444786599
507,Illinois,33.3,error: precision too large.,988073.869435841
508,Texas,21.1,error: precision too large.,error: precision too large.
509,Wisconsin,34.9,377105192558.6384,3202532.362221854
510,Texas,34.5,error: precision too large.,5414459.25343652
511,Texas,34.3,error: precision too large.,391843.458129247
512,Texas,23.4,error: precision too large.,1898723.186921755
513,Florida,20.0,588451350982.1816,error: precision too large.
514,Florida,26.7,error: precision too large.,3919024.721621973
515,Connecticut,22.5,error: precision too large.,6171044.458608314
516,Florida,35.7,error: precision too large.,error: precision too large.
517,Ohio,33.7,error: precision too large.,error: precision too large.
518,New York,35.1,74079144073.15,7201586.192441713
519,Virginia,34.3,error: precision too large.,error: precision too large.
520,New York,35.9,error: precision too large.,2733580.728267008
521,Ohio,33.1,error: precision too large.,2638080.787342413
522,Texas,20.8,error: precision too large.,7429076.620652103
523,Hawaii,21.3,error: precision too large.,3857342.383119817
524,Texas,30.9,error: precision too large.,4683308.814579717
525,Colorado,27.6,error: precision too large.,4364025.687508492
